microbe,metabolite,edge_type
Streptococcus salivarius JIM8777,Ornithine,consumption
Streptococcus salivarius JIM8777,Phenylalanine,consumption
Streptococcus salivarius JIM8777,propionate,consumption
Streptococcus salivarius JIM8777,L-proline,consumption
Streptococcus salivarius JIM8777,Putrescine,consumption
Streptococcus salivarius JIM8777,Pyridoxal,consumption
Streptococcus salivarius JIM8777,Riboflavin,consumption
Streptococcus salivarius JIM8777,Serine,consumption
Streptococcus salivarius JIM8777,sulfate,consumption
Streptococcus salivarius JIM8777,Spermidine,consumption
Streptococcus salivarius JIM8777,Succinate,consumption
Streptococcus salivarius JIM8777,Sucrose,consumption
Streptococcus salivarius JIM8777,Thiamin,consumption
Streptococcus salivarius JIM8777,L-threonine,consumption
Streptococcus salivarius JIM8777,Thymidine,consumption
Streptococcus salivarius JIM8777,Trehalose,consumption
Streptococcus salivarius JIM8777,L-tyrosine,consumption
Streptococcus salivarius JIM8777,uracil,consumption
Streptococcus salivarius JIM8777,Urea,consumption
Streptococcus salivarius JIM8777,Uridine,consumption
Streptococcus salivarius JIM8777,L-valine,consumption
Streptococcus salivarius JIM8777,Xanthine,consumption
Ruminococcus gnavus ATCC 29149,"(S)-propane-1,2-diol",consumption
Ruminococcus gnavus ATCC 29149,acetaldehyde,consumption
Ruminococcus gnavus ATCC 29149,N-acetyl-D-galactosamine,consumption
Ruminococcus gnavus ATCC 29149,N-acetyl-D-glucosamine,consumption
Ruminococcus gnavus ATCC 29149,N-acetylneuraminate,consumption
Ruminococcus gnavus ATCC 29149,acetate,consumption
Ruminococcus gnavus ATCC 29149,L-alanine,consumption
Ruminococcus gnavus ATCC 29149,L-arabinose,consumption
Ruminococcus gnavus ATCC 29149,L-asparagine,consumption
Ruminococcus gnavus ATCC 29149,L-aspartate(1-),consumption
Ruminococcus gnavus ATCC 29149,Biotin,consumption
Ruminococcus gnavus ATCC 29149,L-cysteine,consumption
Ruminococcus gnavus ATCC 29149,laurate,consumption
Ruminococcus gnavus ATCC 29149,Dextrin,consumption
Ruminococcus gnavus ATCC 29149,Riboflavin,consumption
Ruminococcus gnavus ATCC 29149,ethanol,consumption
Ruminococcus gnavus ATCC 29149,Formate,consumption
Ruminococcus gnavus ATCC 29149,D-Fructose,consumption
Ruminococcus gnavus ATCC 29149,D-Galactose,consumption
Ruminococcus gnavus ATCC 29149,D-glucose,consumption
Ruminococcus gnavus ATCC 29149,L-glutamine,consumption
Ruminococcus gnavus ATCC 29149,L-glutamate(1-),consumption
Ruminococcus gnavus ATCC 29149,Glycine,consumption
Ruminococcus gnavus ATCC 29149,glycine betaine,consumption
Ruminococcus gnavus ATCC 29149,L-histidine,consumption
Ruminococcus gnavus ATCC 29149,L-leucine,consumption
Ruminococcus gnavus ATCC 29149,L-lysinium(1+),consumption
Ruminococcus gnavus ATCC 29149,Maltose,consumption
Ruminococcus gnavus ATCC 29149,D-Mannose,consumption
Ruminococcus gnavus ATCC 29149,Melibiose,consumption
Ruminococcus gnavus ATCC 29149,L-methionine,consumption
Ruminococcus gnavus ATCC 29149,Nicotinate,consumption
Ruminococcus gnavus ATCC 29149,Ammonium,consumption
Ruminococcus gnavus ATCC 29149,Nitrite,consumption
Ruminococcus gnavus ATCC 29149,Phenylalanine,consumption
Ruminococcus gnavus ATCC 29149,propionate,consumption
Ruminococcus gnavus ATCC 29149,L-proline,consumption
Ruminococcus gnavus ATCC 29149,Putrescine,consumption
Ruminococcus gnavus ATCC 29149,Pyridoxal,consumption
Ruminococcus gnavus ATCC 29149,Raffinose,consumption
Ruminococcus gnavus ATCC 29149,D-ribose,consumption
Ruminococcus gnavus ATCC 29149,Serine,consumption
Ruminococcus gnavus ATCC 29149,sulfate,consumption
Ruminococcus gnavus ATCC 29149,Spermidine,consumption
Ruminococcus gnavus ATCC 29149,Stachyose,consumption
Ruminococcus gnavus ATCC 29149,Succinate,consumption
Ruminococcus gnavus ATCC 29149,Sucrose,consumption
Ruminococcus gnavus ATCC 29149,L-threonine,consumption
Ruminococcus gnavus ATCC 29149,tetradecanoate (n-C14:0),consumption
Ruminococcus gnavus ATCC 29149,L-tyrosine,consumption
Ruminococcus gnavus ATCC 29149,uracil,consumption
Ruminococcus gnavus ATCC 29149,Urea,consumption
Ruminococcus gnavus ATCC 29149,Xanthine,consumption
Ruminococcus gnavus ATCC 29149,Nitrate,consumption
Dorea formicigenerans ATCC 27755,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",consumption
Dorea formicigenerans ATCC 27755,acetaldehyde,consumption
Dorea formicigenerans ATCC 27755,N-acetyl-D-glucosamine,consumption
Dorea formicigenerans ATCC 27755,acetate,consumption
Dorea formicigenerans ATCC 27755,Adenosylcobalamin,consumption
Dorea formicigenerans ATCC 27755,L-alanine,consumption
Dorea formicigenerans ATCC 27755,L-arabinose,consumption
Dorea formicigenerans ATCC 27755,L-argininium(1+),consumption
Dorea formicigenerans ATCC 27755,L-asparagine,consumption
Dorea formicigenerans ATCC 27755,L-aspartate(1-),consumption
Dorea formicigenerans ATCC 27755,Biotin,consumption
Dorea formicigenerans ATCC 27755,cytosine,consumption
Dorea formicigenerans ATCC 27755,L-cysteine,consumption
Dorea formicigenerans ATCC 27755,ethanol,consumption
Dorea formicigenerans ATCC 27755,Folate,consumption
Dorea formicigenerans ATCC 27755,Formate,consumption
Dorea formicigenerans ATCC 27755,D-Fructose,consumption
Dorea formicigenerans ATCC 27755,D-Galactose,consumption
Dorea formicigenerans ATCC 27755,galactitol,consumption
Dorea formicigenerans ATCC 27755,D-Glucosamine,consumption
Dorea formicigenerans ATCC 27755,D-glucose,consumption
Dorea formicigenerans ATCC 27755,L-glutamine,consumption
Dorea formicigenerans ATCC 27755,L-glutamate(1-),consumption
Dorea formicigenerans ATCC 27755,Glycine,consumption
Dorea formicigenerans ATCC 27755,glycine betaine,consumption
Dorea formicigenerans ATCC 27755,Glycerol,consumption
Dorea formicigenerans ATCC 27755,Guanine,consumption
Dorea formicigenerans ATCC 27755,L-histidine,consumption
Dorea formicigenerans ATCC 27755,L-isoleucine,consumption
Dorea formicigenerans ATCC 27755,Lactose,consumption
Dorea formicigenerans ATCC 27755,L-leucine,consumption
Dorea formicigenerans ATCC 27755,L-lysinium(1+),consumption
Dorea formicigenerans ATCC 27755,Maltose,consumption
Dorea formicigenerans ATCC 27755,D-Mannose,consumption
Dorea formicigenerans ATCC 27755,L-methionine,consumption
Dorea formicigenerans ATCC 27755,D-Mannitol,consumption
Dorea formicigenerans ATCC 27755,Nicotinate,consumption
Dorea formicigenerans ATCC 27755,Ammonium,consumption
Dorea formicigenerans ATCC 27755,Ornithine,consumption
Dorea formicigenerans ATCC 27755,Phenylalanine,consumption
Dorea formicigenerans ATCC 27755,propionate,consumption
Dorea formicigenerans ATCC 27755,L-proline,consumption
Dorea formicigenerans ATCC 27755,Pyridoxal,consumption
Dorea formicigenerans ATCC 27755,D-ribose,consumption
Dorea formicigenerans ATCC 27755,Riboflavin,consumption
Dorea formicigenerans ATCC 27755,Serine,consumption
Dorea formicigenerans ATCC 27755,sulfate,consumption
Dorea formicigenerans ATCC 27755,Spermidine,consumption
Dorea formicigenerans ATCC 27755,Succinate,consumption
Dorea formicigenerans ATCC 27755,Sucrose,consumption
Dorea formicigenerans ATCC 27755,Taurine,consumption
Dorea formicigenerans ATCC 27755,Thiamin,consumption
Dorea formicigenerans ATCC 27755,L-threonine,consumption
Dorea formicigenerans ATCC 27755,Trehalose,consumption
Dorea formicigenerans ATCC 27755,L-tryptophan,consumption
Dorea formicigenerans ATCC 27755,L-tyrosine,consumption
Dorea formicigenerans ATCC 27755,uracil,consumption
Dorea formicigenerans ATCC 27755,L-valine,consumption
Dorea formicigenerans ATCC 27755,Xanthine,consumption
Ruminococcus flavefaciens ATCC 19208,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",consumption
Ruminococcus flavefaciens ATCC 19208,2-Oxobutanoate,consumption
Ruminococcus flavefaciens ATCC 19208,acetaldehyde,consumption
Ruminococcus flavefaciens ATCC 19208,acetate,consumption
Ruminococcus flavefaciens ATCC 19208,Adenine,consumption
Ruminococcus flavefaciens ATCC 19208,Adenosine,consumption
Ruminococcus flavefaciens ATCC 19208,Adenosylcobalamin,consumption
Ruminococcus flavefaciens ATCC 19208,L-alanine,consumption
Ruminococcus flavefaciens ATCC 19208,L-arabinose,consumption
Ruminococcus flavefaciens ATCC 19208,L-asparagine,consumption
Ruminococcus flavefaciens ATCC 19208,L-aspartate(1-),consumption
Ruminococcus flavefaciens ATCC 19208,Biotin,consumption
Ruminococcus flavefaciens ATCC 19208,cellobiose,consumption
Ruminococcus flavefaciens ATCC 19208,cytosine,consumption
Ruminococcus flavefaciens ATCC 19208,L-cysteine,consumption
Ruminococcus flavefaciens ATCC 19208,Cytidine,consumption
Ruminococcus flavefaciens ATCC 19208,ethanol,consumption
Ruminococcus flavefaciens ATCC 19208,Folate,consumption
Ruminococcus flavefaciens ATCC 19208,Formate,consumption
Ruminococcus flavefaciens ATCC 19208,D-Galactose,consumption
Ruminococcus flavefaciens ATCC 19208,D-Galacturonate,consumption
Ruminococcus flavefaciens ATCC 19208,D-glucose,consumption
Ruminococcus flavefaciens ATCC 19208,L-glutamine,consumption
Ruminococcus flavefaciens ATCC 19208,L-glutamate(1-),consumption
Ruminococcus flavefaciens ATCC 19208,Glycine,consumption
Ruminococcus flavefaciens ATCC 19208,Glycerol,consumption
Ruminococcus flavefaciens ATCC 19208,Guanine,consumption
Ruminococcus flavefaciens ATCC 19208,Hydrogen,consumption
Ruminococcus flavefaciens ATCC 19208,L-histidine,consumption
Ruminococcus flavefaciens ATCC 19208,L-isoleucine,consumption
Ruminococcus flavefaciens ATCC 19208,Lactose,consumption
Ruminococcus flavefaciens ATCC 19208,L-leucine,consumption
Ruminococcus flavefaciens ATCC 19208,L-lysinium(1+),consumption
Ruminococcus flavefaciens ATCC 19208,Maltose,consumption
Ruminococcus flavefaciens ATCC 19208,methanol,consumption
Ruminococcus flavefaciens ATCC 19208,L-methionine,consumption
Ruminococcus flavefaciens ATCC 19208,Menaquinone 8,consumption
Ruminococcus flavefaciens ATCC 19208,Nicotinate,consumption
Ruminococcus flavefaciens ATCC 19208,Ammonium,consumption
Ruminococcus flavefaciens ATCC 19208,Nitrate,consumption
Ruminococcus flavefaciens ATCC 19208,Ornithine,consumption
Ruminococcus flavefaciens ATCC 19208,Phenylalanine,consumption
Ruminococcus flavefaciens ATCC 19208,propionate,consumption
Ruminococcus flavefaciens ATCC 19208,L-proline,consumption
Ruminococcus flavefaciens ATCC 19208,Pyridoxal,consumption
Ruminococcus flavefaciens ATCC 19208,D-ribose,consumption
Ruminococcus flavefaciens ATCC 19208,Riboflavin,consumption
Ruminococcus flavefaciens ATCC 19208,Serine,consumption
Ruminococcus flavefaciens ATCC 19208,sulfate,consumption
Ruminococcus flavefaciens ATCC 19208,Spermidine,consumption
Ruminococcus flavefaciens ATCC 19208,Succinate,consumption
Ruminococcus flavefaciens ATCC 19208,Taurine,consumption
Ruminococcus flavefaciens ATCC 19208,Thiamin,consumption
Ruminococcus flavefaciens ATCC 19208,L-threonine,consumption
Ruminococcus flavefaciens ATCC 19208,Thymidine,consumption
Ruminococcus flavefaciens ATCC 19208,L-tyrosine,consumption
Ruminococcus flavefaciens ATCC 19208,uracil,consumption
Ruminococcus flavefaciens ATCC 19208,L-valine,consumption
Anaerotruncus colihominis DSM 17241,acetaldehyde,consumption
Anaerotruncus colihominis DSM 17241,N-acetyl-D-glucosamine,consumption
Anaerotruncus colihominis DSM 17241,N-acetylneuraminate,consumption
Anaerotruncus colihominis DSM 17241,acetate,consumption
Anaerotruncus colihominis DSM 17241,Adenosylcobalamin,consumption
Anaerotruncus colihominis DSM 17241,L-alanine,consumption
Anaerotruncus colihominis DSM 17241,L-arabinose,consumption
Anaerotruncus colihominis DSM 17241,L-asparagine,consumption
Anaerotruncus colihominis DSM 17241,L-aspartate(1-),consumption
Anaerotruncus colihominis DSM 17241,butyrate,consumption
Anaerotruncus colihominis DSM 17241,cellobiose,consumption
Anaerotruncus colihominis DSM 17241,cytosine,consumption
Anaerotruncus colihominis DSM 17241,L-cysteine,consumption
Anaerotruncus colihominis DSM 17241,laurate,consumption
Anaerotruncus colihominis DSM 17241,ethanol,consumption
Anaerotruncus colihominis DSM 17241,Formate,consumption
Anaerotruncus colihominis DSM 17241,D-Fructose,consumption
Anaerotruncus colihominis DSM 17241,D-Galactose,consumption
Anaerotruncus colihominis DSM 17241,D-Galacturonate,consumption
Anaerotruncus colihominis DSM 17241,D-glucose,consumption
Anaerotruncus colihominis DSM 17241,L-glutamine,consumption
Anaerotruncus colihominis DSM 17241,L-glutamate(1-),consumption
Anaerotruncus colihominis DSM 17241,Glycine,consumption
Anaerotruncus colihominis DSM 17241,Hydrogen,consumption
Anaerotruncus colihominis DSM 17241,Hexadecanoate (n-C16:0),consumption
Anaerotruncus colihominis DSM 17241,L-histidine,consumption
Anaerotruncus colihominis DSM 17241,L-isoleucine,consumption
Anaerotruncus colihominis DSM 17241,Indole,consumption
Anaerotruncus colihominis DSM 17241,L-leucine,consumption
Anaerotruncus colihominis DSM 17241,L-lysinium(1+),consumption
Anaerotruncus colihominis DSM 17241,(S)-malate(2-),consumption
Anaerotruncus colihominis DSM 17241,Maltose,consumption
Anaerotruncus colihominis DSM 17241,D-Mannose,consumption
Anaerotruncus colihominis DSM 17241,L-methionine,consumption
Anaerotruncus colihominis DSM 17241,Nicotinate,consumption
Anaerotruncus colihominis DSM 17241,Ammonium,consumption
Anaerotruncus colihominis DSM 17241,Nitrite,consumption
Anaerotruncus colihominis DSM 17241,octadecanoate (n-C18:0),consumption
Anaerotruncus colihominis DSM 17241,Phenylalanine,consumption
Anaerotruncus colihominis DSM 17241,L-proline,consumption
Anaerotruncus colihominis DSM 17241,Putrescine,consumption
Anaerotruncus colihominis DSM 17241,Pyridoxal,consumption
Anaerotruncus colihominis DSM 17241,pyruvate,consumption
Anaerotruncus colihominis DSM 17241,D-ribose,consumption
Anaerotruncus colihominis DSM 17241,Riboflavin,consumption
Anaerotruncus colihominis DSM 17241,Serine,consumption
Anaerotruncus colihominis DSM 17241,sulfate,consumption
Anaerotruncus colihominis DSM 17241,Spermidine,consumption
Anaerotruncus colihominis DSM 17241,Succinate,consumption
Anaerotruncus colihominis DSM 17241,Thiamin,consumption
Anaerotruncus colihominis DSM 17241,L-threonine,consumption
Anaerotruncus colihominis DSM 17241,Trehalose,consumption
Anaerotruncus colihominis DSM 17241,L-tryptophan,consumption
Anaerotruncus colihominis DSM 17241,tetradecanoate (n-C14:0),consumption
Anaerotruncus colihominis DSM 17241,L-tyrosine,consumption
Anaerotruncus colihominis DSM 17241,uracil,consumption
Anaerotruncus colihominis DSM 17241,Urea,consumption
Anaerotruncus colihominis DSM 17241,L-valine,consumption
Anaerotruncus colihominis DSM 17241,Xanthine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,2-Oxobutanoate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,4-Aminobenzoate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,acetaldehyde,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,acetate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Adenine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Adenosine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Adenosylcobalamin,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-alanine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-argininium(1+),consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-asparagine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-aspartate(1-),consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,cytosine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-cysteine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Cytidine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Folate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Formate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,D-glucose,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-glutamine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Glycine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Guanosine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Guanine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-histidine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-isoleucine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Inosine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Lactose,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-leucine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-lysinium(1+),consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Maltose,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-methionine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Menaquinone 8,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Nicotinate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Ammonium,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Ornithine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Phenylalanine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-proline,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Serine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,sulfate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Spermidine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Succinate,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Thiamin,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-threonine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Thymidine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-tryptophan,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,uracil,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Urea,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Uridine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,L-valine,consumption
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640,Xanthine,consumption
Collinsella aerofaciens ATCC 25986,acetaldehyde,consumption
Collinsella aerofaciens ATCC 25986,acetate,consumption
Collinsella aerofaciens ATCC 25986,Adenosylcobalamin,consumption
Collinsella aerofaciens ATCC 25986,L-alanine,consumption
Collinsella aerofaciens ATCC 25986,L-arabinose,consumption
Collinsella aerofaciens ATCC 25986,L-asparagine,consumption
Collinsella aerofaciens ATCC 25986,L-aspartate(1-),consumption
Collinsella aerofaciens ATCC 25986,L-cysteine,consumption
Collinsella aerofaciens ATCC 25986,ethanol,consumption
Collinsella aerofaciens ATCC 25986,L-argininium(1+),consumption
Collinsella aerofaciens ATCC 25986,Formate,consumption
Collinsella aerofaciens ATCC 25986,D-Fructose,consumption
Collinsella aerofaciens ATCC 25986,D-Galactose,consumption
Collinsella aerofaciens ATCC 25986,galactitol,consumption
Collinsella aerofaciens ATCC 25986,D-glucose,consumption
Collinsella aerofaciens ATCC 25986,L-glutamine,consumption
Collinsella aerofaciens ATCC 25986,L-glutamate(1-),consumption
Collinsella aerofaciens ATCC 25986,Glycine,consumption
Collinsella aerofaciens ATCC 25986,Glycerol,consumption
Collinsella aerofaciens ATCC 25986,Hydrogen,consumption
Collinsella aerofaciens ATCC 25986,L-histidine,consumption
Collinsella aerofaciens ATCC 25986,L-isoleucine,consumption
Collinsella aerofaciens ATCC 25986,Lactose,consumption
Collinsella aerofaciens ATCC 25986,L-leucine,consumption
Collinsella aerofaciens ATCC 25986,L-lysinium(1+),consumption
Collinsella aerofaciens ATCC 25986,Maltose,consumption
Collinsella aerofaciens ATCC 25986,D-Mannose,consumption
Collinsella aerofaciens ATCC 25986,L-methionine,consumption
Collinsella aerofaciens ATCC 25986,Nicotinate,consumption
Collinsella aerofaciens ATCC 25986,Ammonium,consumption
Collinsella aerofaciens ATCC 25986,Nitrate,consumption
Collinsella aerofaciens ATCC 25986,Ornithine,consumption
Collinsella aerofaciens ATCC 25986,Phenylalanine,consumption
Collinsella aerofaciens ATCC 25986,L-proline,consumption
Collinsella aerofaciens ATCC 25986,Pyridoxal,consumption
Collinsella aerofaciens ATCC 25986,Riboflavin,consumption
Collinsella aerofaciens ATCC 25986,Serine,consumption
Collinsella aerofaciens ATCC 25986,sulfate,consumption
Collinsella aerofaciens ATCC 25986,Sucrose,consumption
Collinsella aerofaciens ATCC 25986,Taurine,consumption
Collinsella aerofaciens ATCC 25986,L-threonine,consumption
Collinsella aerofaciens ATCC 25986,L-tryptophan,consumption
Collinsella aerofaciens ATCC 25986,L-tyrosine,consumption
Collinsella aerofaciens ATCC 25986,uracil,consumption
Collinsella aerofaciens ATCC 25986,Urea,consumption
Collinsella aerofaciens ATCC 25986,L-valine,consumption
Collinsella aerofaciens ATCC 25986,Xanthine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,acetaldehyde,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,acetate,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Adenosylcobalamin,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-alanine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-arabinose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-asparagine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-aspartate(1-),consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Biotin,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,cellobiose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,cytosine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-cysteine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,ethanol,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Formate,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,D-Fructose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,D-Galactose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,D-glucose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-glutamine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-glutamate(1-),consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Glycine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Hexadecanoate (n-C16:0),consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-histidine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-isoleucine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Lactose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-leucine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-lysinium(1+),consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Maltose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,D-Mannose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-methionine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Nicotinate,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Ammonium,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Nitrate,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,octadecanoate (n-C18:0),consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Phenylalanine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-proline,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Putrescine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Pyridoxal,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,D-ribose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Riboflavin,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Serine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,sulfate,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Spermidine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Succinate,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Sucrose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Taurine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Thiamin,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-threonine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Trehalose,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-tryptophan,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,tetradecanoate (n-C14:0),consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-tyrosine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,uracil,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Urea,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,L-valine,consumption
Pseudoflavonifractor capillosus strain ATCC 29799,Xanthine,consumption
Roseburia intestinalis L1-82,acetaldehyde,consumption
Roseburia intestinalis L1-82,N-acetyl-D-glucosamine,consumption
Roseburia intestinalis L1-82,acetate,consumption
Roseburia intestinalis L1-82,Adenosylcobalamin,consumption
Roseburia intestinalis L1-82,L-alanine,consumption
Roseburia intestinalis L1-82,D-glucose,consumption
Roseburia intestinalis L1-82,L-arabinose,consumption
Roseburia intestinalis L1-82,L-asparagine,consumption
Roseburia intestinalis L1-82,L-aspartate(1-),consumption
Roseburia intestinalis L1-82,Biotin,consumption
Roseburia intestinalis L1-82,butyrate,consumption
Roseburia intestinalis L1-82,cellobiose,consumption
Roseburia intestinalis L1-82,L-cysteine,consumption
Roseburia intestinalis L1-82,Dextrin,consumption
Roseburia intestinalis L1-82,ethanol,consumption
Roseburia intestinalis L1-82,Citrate,consumption
Roseburia intestinalis L1-82,Formate,consumption
Roseburia intestinalis L1-82,D-Fructose,consumption
Roseburia intestinalis L1-82,D-Galactose,consumption
Roseburia intestinalis L1-82,L-glutamine,consumption
Roseburia intestinalis L1-82,L-glutamate(1-),consumption
Roseburia intestinalis L1-82,Glycine,consumption
Roseburia intestinalis L1-82,Glycerol,consumption
Roseburia intestinalis L1-82,Hydrogen,consumption
Roseburia intestinalis L1-82,Hexadecanoate (n-C16:0),consumption
Roseburia intestinalis L1-82,L-histidine,consumption
Roseburia intestinalis L1-82,L-isoleucine,consumption
Roseburia intestinalis L1-82,L-leucine,consumption
Roseburia intestinalis L1-82,L-lysinium(1+),consumption
Roseburia intestinalis L1-82,Maltose,consumption
Roseburia intestinalis L1-82,Melibiose,consumption
Roseburia intestinalis L1-82,L-methionine,consumption
Roseburia intestinalis L1-82,Nicotinate,consumption
Roseburia intestinalis L1-82,Ammonium,consumption
Roseburia intestinalis L1-82,octadecanoate (n-C18:0),consumption
Roseburia intestinalis L1-82,Phenylalanine,consumption
Roseburia intestinalis L1-82,L-proline,consumption
Roseburia intestinalis L1-82,Putrescine,consumption
Roseburia intestinalis L1-82,Raffinose,consumption
Roseburia intestinalis L1-82,D-ribose,consumption
Roseburia intestinalis L1-82,Riboflavin,consumption
Roseburia intestinalis L1-82,Serine,consumption
Roseburia intestinalis L1-82,sulfate,consumption
Roseburia intestinalis L1-82,Spermidine,consumption
Roseburia intestinalis L1-82,Stachyose,consumption
Roseburia intestinalis L1-82,Succinate,consumption
