microbe,metabolite,edge_type
Faecalibacterium prausnitzii SL3/3,Succinate,consumption
Faecalibacterium prausnitzii SL3/3,Sucrose,consumption
Faecalibacterium prausnitzii SL3/3,Taurine,consumption
Faecalibacterium prausnitzii SL3/3,Thiamin,consumption
Faecalibacterium prausnitzii SL3/3,L-threonine,consumption
Faecalibacterium prausnitzii SL3/3,Trehalose,consumption
Faecalibacterium prausnitzii SL3/3,L-tryptophan,consumption
Faecalibacterium prausnitzii SL3/3,L-tyrosine,consumption
Faecalibacterium prausnitzii SL3/3,uracil,consumption
Faecalibacterium prausnitzii SL3/3,L-valine,consumption
Bifidobacterium longum DJO10A,4-Aminobenzoate,consumption
Bifidobacterium longum DJO10A,acetaldehyde,consumption
Bifidobacterium longum DJO10A,N-acetyl-D-glucosamine,consumption
Bifidobacterium longum DJO10A,acetate,consumption
Bifidobacterium longum DJO10A,L-alanine,consumption
Bifidobacterium longum DJO10A,L-arabinose,consumption
Bifidobacterium longum DJO10A,D-Galactose,consumption
Bifidobacterium longum DJO10A,D-glucuronate,consumption
Bifidobacterium longum DJO10A,D-glucose,consumption
Bifidobacterium longum DJO10A,L-asparagine,consumption
Bifidobacterium longum DJO10A,L-aspartate(1-),consumption
Bifidobacterium longum DJO10A,Biotin,consumption
Bifidobacterium longum DJO10A,L-cysteine,consumption
Bifidobacterium longum DJO10A,laurate,consumption
Bifidobacterium longum DJO10A,Dextrin,consumption
Bifidobacterium longum DJO10A,ethanol,consumption
Bifidobacterium longum DJO10A,Folate,consumption
Bifidobacterium longum DJO10A,Formate,consumption
Bifidobacterium longum DJO10A,D-Fructose,consumption
Bifidobacterium longum DJO10A,galactitol,consumption
Bifidobacterium longum DJO10A,D-Glucosamine,consumption
Bifidobacterium longum DJO10A,L-glutamine,consumption
Bifidobacterium longum DJO10A,L-glutamate(1-),consumption
Bifidobacterium longum DJO10A,Glycine,consumption
Bifidobacterium longum DJO10A,Glycerol,consumption
Bifidobacterium longum DJO10A,L-histidine,consumption
Bifidobacterium longum DJO10A,L-isoleucine,consumption
Bifidobacterium longum DJO10A,Lactose,consumption
Bifidobacterium longum DJO10A,L-leucine,consumption
Bifidobacterium longum DJO10A,L-lysinium(1+),consumption
Bifidobacterium longum DJO10A,Maltose,consumption
Bifidobacterium longum DJO10A,D-Mannose,consumption
Bifidobacterium longum DJO10A,L-methionine,consumption
Bifidobacterium longum DJO10A,D-Mannitol,consumption
Bifidobacterium longum DJO10A,Nicotinate,consumption
Bifidobacterium longum DJO10A,Ammonium,consumption
Bifidobacterium longum DJO10A,Nitrate,consumption
Bifidobacterium longum DJO10A,Ornithine,consumption
Bifidobacterium longum DJO10A,Phenylalanine,consumption
Bifidobacterium longum DJO10A,L-proline,consumption
Bifidobacterium longum DJO10A,Pyridoxal,consumption
Bifidobacterium longum DJO10A,Raffinose,consumption
Bifidobacterium longum DJO10A,D-ribose,consumption
Bifidobacterium longum DJO10A,Riboflavin,consumption
Bifidobacterium longum DJO10A,L-Rhamnose,consumption
Bifidobacterium longum DJO10A,Serine,consumption
Bifidobacterium longum DJO10A,sulfate,consumption
Bifidobacterium longum DJO10A,Stachyose,consumption
Bifidobacterium longum DJO10A,Succinate,consumption
Bifidobacterium longum DJO10A,Sucrose,consumption
Bifidobacterium longum DJO10A,Taurine,consumption
Bifidobacterium longum DJO10A,Thiamin,consumption
Bifidobacterium longum DJO10A,L-threonine,consumption
Bifidobacterium longum DJO10A,Trehalose,consumption
Bifidobacterium longum DJO10A,L-tryptophan,consumption
Bifidobacterium longum DJO10A,thiosulfate(2-),consumption
Bifidobacterium longum DJO10A,L-tyrosine,consumption
Bifidobacterium longum DJO10A,L-valine,consumption
Bifidobacterium longum DJO10A,Xanthine,consumption
Bifidobacterium longum DJO10A,octadecanoate (n-C18:0),consumption
Bifidobacterium longum DJO10A,tetradecanoate (n-C14:0),consumption
Roseburia inulinivorans DSM 16841,"(S)-propane-1,2-diol",consumption
Roseburia inulinivorans DSM 16841,acetaldehyde,consumption
Roseburia inulinivorans DSM 16841,N-acetyl-D-glucosamine,consumption
Roseburia inulinivorans DSM 16841,acetate,consumption
Roseburia inulinivorans DSM 16841,Adenosylcobalamin,consumption
Roseburia inulinivorans DSM 16841,L-alanine,consumption
Roseburia inulinivorans DSM 16841,D-glucose,consumption
Roseburia inulinivorans DSM 16841,L-arabinose,consumption
Roseburia inulinivorans DSM 16841,L-asparagine,consumption
Roseburia inulinivorans DSM 16841,L-aspartate(1-),consumption
Roseburia inulinivorans DSM 16841,Biotin,consumption
Roseburia inulinivorans DSM 16841,butyrate,consumption
Roseburia inulinivorans DSM 16841,cellobiose,consumption
Roseburia inulinivorans DSM 16841,cytosine,consumption
Roseburia inulinivorans DSM 16841,L-cysteine,consumption
Roseburia inulinivorans DSM 16841,ethanol,consumption
Roseburia inulinivorans DSM 16841,Formate,consumption
Roseburia inulinivorans DSM 16841,D-Fructose,consumption
Roseburia inulinivorans DSM 16841,L-fucose,consumption
Roseburia inulinivorans DSM 16841,D-Galactose,consumption
Roseburia inulinivorans DSM 16841,L-glutamine,consumption
Roseburia inulinivorans DSM 16841,L-glutamate(1-),consumption
Roseburia inulinivorans DSM 16841,Glycine,consumption
Roseburia inulinivorans DSM 16841,Hydrogen,consumption
Roseburia inulinivorans DSM 16841,Hexadecanoate (n-C16:0),consumption
Roseburia inulinivorans DSM 16841,L-histidine,consumption
Roseburia inulinivorans DSM 16841,L-isoleucine,consumption
Roseburia inulinivorans DSM 16841,L-leucine,consumption
Roseburia inulinivorans DSM 16841,L-lysinium(1+),consumption
Roseburia inulinivorans DSM 16841,Maltose,consumption
Roseburia inulinivorans DSM 16841,Melibiose,consumption
Roseburia inulinivorans DSM 16841,L-methionine,consumption
Roseburia inulinivorans DSM 16841,Nicotinate,consumption
Roseburia inulinivorans DSM 16841,Ammonium,consumption
Roseburia inulinivorans DSM 16841,Nitrate,consumption
Roseburia inulinivorans DSM 16841,octadecanoate (n-C18:0),consumption
Roseburia inulinivorans DSM 16841,Phenylalanine,consumption
Roseburia inulinivorans DSM 16841,propionate,consumption
Roseburia inulinivorans DSM 16841,L-proline,consumption
Roseburia inulinivorans DSM 16841,Putrescine,consumption
Roseburia inulinivorans DSM 16841,Pyridoxal,consumption
Roseburia inulinivorans DSM 16841,D-ribose,consumption
Roseburia inulinivorans DSM 16841,Riboflavin,consumption
Roseburia inulinivorans DSM 16841,Serine,consumption
Roseburia inulinivorans DSM 16841,sulfate,consumption
Roseburia inulinivorans DSM 16841,Spermidine,consumption
Roseburia inulinivorans DSM 16841,Sucrose,consumption
Roseburia inulinivorans DSM 16841,Taurine,consumption
Roseburia inulinivorans DSM 16841,Thiamin,consumption
