IDs: Names
441: Enterococcus italicus
447: Erysipelothrix rhusiopathiae
449: Escherichia albertii
450: Escherichia coli
451: Escherichia fergusonii
452: Ethanoligenens harbinense
453: Eubacterium cellulosolvens
454: Eubacterium eligens
455: Eubacterium hallii
456: Eubacterium limosum
457: Eubacterium rectale
458: Eubacterium saburreum
459: Eubacterium saphenum
460: Eubacterium siraeum
461: Eubacterium ventriosum
464: Faecalibacterium prausnitzii
469: Fibrobacter succinogenes (Bacteroides succinogenes)
470: Finegoldia magna
471: Flavobacterium johnsoniae
476: Frankia alni
477: Frankia symbiont
479: Fusobacterium gonidiaformans
480: Fusobacterium mortiferum
481: Fusobacterium nucleatum
482: Fusobacterium periodonticum
483: Fusobacterium ulcerans
484: Fusobacterium varium
492: Geobacillus thermodenitrificans
494: Geobacter bemidjiensis
495: Geobacter lovleyi
496: Geobacter metallireducens
497: Geobacter sulfurreducens
498: Geobacter uraniumreducens
503: Gluconobacter oxydans
507: Granulibacter bethesdensis
512: Haemophilus influenzae
513: Haemophilus parainfluenzae
520: Haloarcula marismortui
521: Halobacterium salinarum
522: Haloferax volcanii
541: Helicobacter pylori
551: Holdemania filiformis
554: Hyphomicrobium denitrificans
558: Ignicoccus hospitalis
560: Ilyobacter polytropus
563: Jonesia denitrificans
566: Ketogulonicigenium vulgare
568: Kingella denitrificans
570: Klebsiella pneumoniae
571: Klebsiella variicola
581: Lactobacillus acidophilus
582: Lactobacillus amylolyticus
583: Lactobacillus amylovorus
584: Lactobacillus antri
585: Lactobacillus brevis
586: Lactobacillus buchneri
587: Lactobacillus casei
588: Lactobacillus coleohominis
589: Lactobacillus crispatus
590: Lactobacillus delbrueckii
591: Lactobacillus fermentum
592: Lactobacillus gasseri
593: Lactobacillus helveticus
594: Lactobacillus hilgardii
595: Lactobacillus iners
596: Lactobacillus jensenii
597: Lactobacillus johnsonii
598: Lactobacillus oris
599: Lactobacillus paracasei
600: Lactobacillus plantarum
601: Lactobacillus reuteri
602: Lactobacillus rhamnosus
603: Lactobacillus ruminis
